season,episode,airdate,hosts,youtube_id, view_count,like_count,dislike_count,title,year,imdb_id,imdb_rating,runtime,imdb_votes,oscar_winner,gregg_popcorn,gregg_oscar,tim_popcorn,tim_oscar
1,1,11/2/2012,Gregg Turkington|Tim Heidecker,qFHLfmoLchI,551314,2907,38,Flight,2012,1907668,7.3,138,322676,False,5,True,5,True
1,1,11/2/2012,Gregg Turkington|Tim Heidecker,qFHLfmoLchI,551314,2907,38,The Man with the Iron Fists,2012,1258972,5.4,95,60187,False,5,False,4,False
1,2,11/8/2012,Gregg Turkington|Tim Heidecker,SQZJktp-etk,206517,1586,23,Skyfall,2012,1074638,7.7,143,625383,True,5,False,5,False
1,2,11/8/2012,Gregg Turkington|Tim Heidecker,SQZJktp-etk,206517,1586,23,Lincoln,2012,0443272,7.3,150,242505,True,4,False,6,False
1,3,11/16/2012,Gregg Turkington|Tim Heidecker,nfOMBioJDJg,212360,1427,27,Anna Karenina,2012,1781769,6.6,129,90829,True,5,True,5,True
1,3,11/16/2012,Gregg Turkington|Tim Heidecker,nfOMBioJDJg,212360,1427,27,The Twilight Saga: Breaking Dawn - Part 2,2012,1673434,5.5,115,229418,False,4,False,4,False
1,4,11/21/2012,Gregg Turkington|Tim Heidecker,QYVJLsbciS8,172712,1265,15,Red Dawn,2012,1234719,5.4,93,73002,False,4,False,5,False
1,4,11/21/2012,Gregg Turkington|Tim Heidecker,QYVJLsbciS8,172712,1265,15,Life of Pi,2012,0454876,7.9,127,575224,True,5,False,4,True
1,5,11/29/2012,Gregg Turkington|Tim Heidecker,WzFILC5bI_c,179360,1558,19,Universal Soldier: Day of Reckoning,2012,1659343,5.0,114,19166,False,5,False,NA,NA
1,5,11/29/2012,Gregg Turkington|Tim Heidecker,WzFILC5bI_c,179360,1558,19,The Frozen Ground,2013,2005374,6.4,105,57500,False,4,False,4,False
1,6,12/6/2012,Gregg Turkington|Tim Heidecker,HMKm0CYEXDU,152812,1036,13,Playing for Keeps,2012,1540128,5.7,105,28546,False,4,False,4,False
1,6,12/6/2012,Gregg Turkington|Tim Heidecker,HMKm0CYEXDU,152812,1036,13,Hyde Park on Hudson,2012,1477855,5.8,94,11209,False,5,True,5,True
1,7,12/13/2012,Gregg Turkington|Tim Heidecker,Okikb3fpN4w,171891,1202,18,Les Miserables,2012,1707386,7.6,158,305951,True,4,False,5,False
1,7,12/13/2012,Gregg Turkington|Tim Heidecker,Okikb3fpN4w,171891,1202,18,The Hobbit: An Unexpected Journey,2012,0903624,7.8,169,750850,False,5,True,6,True
1,8,12/21/2012,Gregg Turkington|Tim Heidecker,qjqfZhyGSrA,192490,1664,15,"Monsters, Inc.",2001,0198781,8.0,92,805147,False,5,False,3,False
1,8,12/21/2012,Gregg Turkington|Tim Heidecker,qjqfZhyGSrA,192490,1664,15,Zero Dark Thirty,2012,1790885,7.4,157,269161,True,4,False,3,True
1,9,12/27/2012,Gregg Turkington|Tim Heidecker,vvoqgPay8bM,166086,1364,17,Jack Reacher,2012,0790724,7.0,130,304891,False,5,False,6,False
1,9,12/27/2012,Gregg Turkington|Tim Heidecker,vvoqgPay8bM,166086,1364,17,Cirque du Soleil: Worlds Away,2012,1792647,6.8,91,7839,False,5,False,4,False
1,10,1/10/2013,Gregg Turkington|Tim Heidecker,u75FIgboNHU,182995,1574,18,Django Unchained,2012,1853728,8.4,165,1337266,True,5,False,4,False
1,10,1/10/2013,Gregg Turkington|Tim Heidecker,u75FIgboNHU,182995,1574,18,Parental Guidance,2012,1047540,6.0,105,24729,False,NA,False,6,False
2,1,2/7/2013,Gregg Turkington|Tim Heidecker,LPw-R-WWdOc,176597,1315,13,Identity Thief,2013,2024432,5.7,111,123590,False,5,False,4,False
2,1,2/7/2013,Gregg Turkington|Tim Heidecker,LPw-R-WWdOc,176597,1315,13,Side Effects,2013,2053463,7.1,106,178915,False,5,False,6,False
2,2,2/14/2013,Gregg Turkington|Tim Heidecker,1M2yXVn2GGA,189742,2039,34,Escape from Planet Earth,2013,0765446,5.9,89,24357,False,NA,False,NA,False
2,2,2/14/2013,Gregg Turkington|Tim Heidecker,1M2yXVn2GGA,189742,2039,34,A Good Day to Die Hard,2013,1606378,5.3,98,196746,False,5,False,5,False
2,3,2/21/2013,Gregg Turkington|Tim Heidecker|Joe Estevez,MMTsSMttjdI,168233,1533,24,Snitch,2013,0882977,6.4,112,82518,False,5,False,4,False
2,3,2/21/2013,Gregg Turkington|Tim Heidecker|Joe Estevez,MMTsSMttjdI,168233,1533,24,Dark Skies,2013,2387433,6.3,97,70505,False,5,False,3,False
2,4,2/28/2013,Gregg Turkington|Tim Heidecker,LjVTxxFNeQY,148654,1156,17,21 & Over,2013,1711425,5.8,93,71648,False,5,False,5,False
2,4,2/28/2013,Gregg Turkington|Tim Heidecker,LjVTxxFNeQY,148654,1156,17,Jack the Giant Slayer,2013,1351685,6.2,114,130759,False,5,False,6,False
2,5,3/7/2013,Gregg Turkington|Tim Heidecker,JhcGWg7aV0w,156506,1341,14,Oz the Great and Powerful,2013,1623205,6.3,130,198156,False,5,False,4,False
2,5,3/7/2013,Gregg Turkington|Tim Heidecker,JhcGWg7aV0w,156506,1341,14,Dead Man Down,2013,2101341,6.5,118,63591,False,5,False,5,True
2,6,3/14/2013,Gregg Turkington|Tim Heidecker,fah28oNAhT8,173043,1505,21,Carrie,2013,1939659,5.9,100,132406,False,5,False,4,False
2,6,3/14/2013,Gregg Turkington|Tim Heidecker,fah28oNAhT8,173043,1505,21,The Incredible Burt Wonderstone,2013,0790628,5.9,100,70448,False,5,True,5,False
2,7,3/21/2013,Gregg Turkington|Tim Heidecker,XxJ7YQS8sos,163700,1436,7,The Croods,2013,0481499,7.2,98,188751,False,5,False,5,False
2,8,3/28/2013,Ayaka Ohwaki|Gregg Turkington|Jimmy McNichol|Tim Heidecker,jFmz7t07i7w,146718,1078,18,G.I. Joe: Retaliation,2013,1583421,5.8,110,172197,False,NA,NA,5,False
2,8,3/28/2013,Ayaka Ohwaki|Gregg Turkington|Jimmy McNichol|Tim Heidecker,jFmz7t07i7w,146718,1078,18,Temptation: Confessions of a Marriage Counselor,2013,2070862,5.0,111,11383,False,NA,NA,4,False
2,9,4/4/2013,Gregg Turkington|Tim Heidecker,ri0n5EMEApY,165646,1397,25,The Company You Keep,2012,1381404,6.4,125,31425,False,5,False,4,False
2,9,4/4/2013,Gregg Turkington|Tim Heidecker,ri0n5EMEApY,165646,1397,25,Jurassic Park,1993,0107290,8.1,127,856923,False,NA,False,NA,False
2,10,4/11/2013,Gregg Turkington|Tim Heidecker,R_5-N9t26V8,179297,1479,11,Oblivion,2013,1483013,7.0,124,481762,False,5,False,NA,False
2,10,4/11/2013,Gregg Turkington|Tim Heidecker,R_5-N9t26V8,179297,1479,11,Scary Movie 5,2013,0795461,3.5,88,65273,False,5,False,4,False
3,1,7/3/2013,Gregg Turkington|Tim Heidecker,Sx19DKoUdUg,228887,1970,46,Despicable Me 2,2013,1690953,7.3,98,366405,False,5,True,4,False
3,1,7/3/2013,Gregg Turkington|Tim Heidecker,Sx19DKoUdUg,228887,1970,46,The Lone Ranger,2013,1210819,6.4,150,219698,False,4,False,5,True
3,2,7/10/2013,Gregg Turkington|Tim Heidecker,-3fzhadeZgg,191338,1634,117,Pacific Rim,2013,1663662,6.9,131,462659,False,5,False,4,False
3,2,7/10/2013,Gregg Turkington|Tim Heidecker,-3fzhadeZgg,191338,1634,117,Grown Ups 2,2013,2191701,5.4,101,139195,False,5,False,5,False
3,3,7/17/2013,Gregg Turkington|Tim Heidecker,_1g-Q7Nim6A,170236,1605,41,Turbo,2013,1860353,6.4,96,82888,False,5,False,5,False
3,3,7/17/2013,Gregg Turkington|Tim Heidecker,_1g-Q7Nim6A,170236,1605,41,RED 2,2013,1821694,6.6,116,158589,False,5,False,5,False
3,4,7/24/2013,Gregg Turkington|Tim Heidecker|Joe Estevez,IcP5kn2kZcQ,181518,1506,37,Blue Jasmine,2013,2334873,7.3,98,190491,True,NA,False,6,True
3,4,7/24/2013,Gregg Turkington|Tim Heidecker|Joe Estevez,IcP5kn2kZcQ,181518,1506,37,The Wolverine,2013,1430132,6.7,126,426046,False,5,False,5,False
3,5,7/31/2013,Gregg Turkington|Tim Heidecker,wE7iRtuJYK8,161173,1400,31,The Smurfs 2,2013,2017020,5.3,105,37559,False,5,True,5,True
3,5,7/31/2013,Gregg Turkington|Tim Heidecker,wE7iRtuJYK8,161173,1400,31,300: Rise of an Empire,2014,1253863,6.2,102,278683,False,5,False,4,False
3,6,8/7/2013,Gregg Turkington|Tim Heidecker,LIlXGcRH2Rs,136144,1240,47,Percy Jackson: Sea of Monsters,2013,1854564,5.8,106,109409,False,5,False,5,False
3,6,8/7/2013,Gregg Turkington|Tim Heidecker,LIlXGcRH2Rs,136144,1240,47,Elysium,2013,1535108,6.6,109,416544,False,NA,False,5,False
3,7,8/14/2013,Gregg Turkington|Tim Heidecker,ScpA45z6BKQ,180130,1925,56,Kick-Ass 2,2013,1650554,6.5,103,253019,False,5,False,5,False
3,8,8/21/2013,Ayaka Ohwaki|John Aprea|Tim Heidecker,Yr_q3Gxvex0,158522,1200,55,The World's End,2013,1213663,7.0,109,257401,False,NA,NA,5,False
3,8,8/21/2013,Ayaka Ohwaki|John Aprea|Tim Heidecker,Yr_q3Gxvex0,158522,1200,55,The Colony,2013,1160996,5.3,95,42804,False,NA,NA,5,False
3,9,8/28/2013,Ayaka Ohwaki|Gregg Turkington|Tim Heidecker,sPIniCEtY9U,195537,2299,42,Getaway,2013,2167202,4.4,90,23107,False,2,False,5,False
3,9,8/28/2013,Ayaka Ohwaki|Gregg Turkington|Tim Heidecker,sPIniCEtY9U,195537,2299,42,One Direction: This Is Us,2013,2515086,4.2,92,23429,False,0,False,5,False
3,10,9/4/2013,Gregg Turkington|Tim Heidecker,eYjQjvirrYc,176899,1480,36,Riddick,2013,1411250,6.4,119,153186,False,5,False,4,False
4,1,1/8/2014,Gregg Turkington|Tim Heidecker,FcY1PUpHXso,233395,1874,46,Her,2013,1798709,8.0,126,532400,True,5,False,5,False
4,1,1/8/2014,Gregg Turkington|Tim Heidecker,FcY1PUpHXso,233395,1874,46,Lone Survivor,2013,1091191,7.5,121,263879,False,5,False,5,False
4,2,1/15/2014,Gregg Turkington|Tim Heidecker,K_0ljrFYE5E,188394,2190,37,Ride Along,2014,1408253,6.2,99,102214,False,5,False,5,False
4,2,1/15/2014,Gregg Turkington|Tim Heidecker,K_0ljrFYE5E,188394,2190,37,The Nut Job,2014,1821658,5.7,85,26383,False,NA,False,NA,False
4,3,1/22/2014,Gregg Turkington|Luther Sanchez|Tim Heidecker,vUsRviInqn4,167366,1502,36,Gimme Shelter,2013,1657510,6.5,101,8165,False,5,False,4,False
4,3,1/22/2014,Gregg Turkington|Luther Sanchez|Tim Heidecker,vUsRviInqn4,167366,1502,36,"I, Frankenstein",2014,1418377,5.1,92,77916,False,5,False,5,False
4,4,1/29/2014,Gregg Turkington|Luther Sanchez|Tim Heidecker,fSazKxKzn2E,222332,2120,38,That Awkward Moment,2014,1800246,6.1,94,97163,False,5,False,5,False
4,4,1/29/2014,Gregg Turkington|Luther Sanchez|Tim Heidecker,fSazKxKzn2E,222332,2120,38,Labor Day,2013,1967545,6.9,111,42416,False,5,False,5,False
4,5,2/5/2014,Gregg Turkington|Jimmy McNichol|Tim Heidecker|Joe Estevez,g8OlSE96I1s,296124,2211,78,The Lego Movie,2014,1490017,7.7,100,321694,False,5,False,3,False
4,5,2/5/2014,Gregg Turkington|Jimmy McNichol|Tim Heidecker|Joe Estevez,g8OlSE96I1s,296124,2211,78,RoboCop,2014,1234721,6.1,117,214952,False,5,False,NA,False
4,6,2/12/2014,Gregg Turkington|Larry Turman,zL2wK-HyeJQ,186632,1887,198,Endless Love,2014,2318092,6.3,104,40068,False,5,False,NA,NA
4,6,2/12/2014,Gregg Turkington|Larry Turman,zL2wK-HyeJQ,186632,1887,198,Girl on a Bicycle,2013,1686042,6.2,101,2108,False,5,False,NA,NA
4,7,2/19/2014,Gregg Turkington|Tim Heidecker,obTi-asfsK4,187030,1575,34,Pompeii,2014,1921064,5.5,105,105772,False,5,False,5,False
4,8,2/26/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,GRUe-F0g2fc,180893,1719,15,Project Almanac,2015,2436386,6.4,106,75511,False,5,False,5,False
4,8,2/26/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,GRUe-F0g2fc,180893,1719,15,Non-Stop,2014,2024469,6.9,106,248316,False,5,False,6,False
4,9,3/5/2014,Gregg Turkington|Tim Heidecker,pZOBnKZ-X9U,151786,1463,22,Need for Speed,2014,2369135,6.4,132,161921,False,5,False,5,False
4,9,3/5/2014,Gregg Turkington|Tim Heidecker,pZOBnKZ-X9U,151786,1463,22,Walk of Shame,2014,2463288,6.0,95,50772,False,5,False,NA,False
4,10,3/12/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,1mz3aHHFxpc,153079,1655,20,Muppets Most Wanted,2014,2281587,6.4,107,31360,False,5,False,5,False
5,1,7/2/2014,Gregg Turkington|Tim Heidecker,9rKNLhPo9bg,203127,1645,35,Tammy,2014,2103254,4.9,97,47618,False,5,False,6,False
5,1,7/2/2014,Gregg Turkington|Tim Heidecker,9rKNLhPo9bg,203127,1645,35,Deliver Us from Evil,2014,2377322,6.2,118,70396,False,5,False,5,False
5,2,7/9/2014,Gregg Turkington|Tim Heidecker,VrL8tyJLeJk,182566,1900,43,Dawn of the Planet of the Apes,2014,2103281,7.6,130,409182,False,5,False,5,True
5,2,7/9/2014,Gregg Turkington|Tim Heidecker,VrL8tyJLeJk,182566,1900,43,And So It Goes,2014,2465146,5.8,94,12708,False,5,True,5,False
5,3,7/16/2014,Gregg Turkington|Tim Heidecker,N0d3hMwjsxg,154025,1422,26,Jupiter Ascending,2015,1617661,5.3,127,177641,False,5,False,3,False
5,3,7/16/2014,Gregg Turkington|Tim Heidecker,N0d3hMwjsxg,154025,1422,26,Planes: Fire & Rescue,2014,2980706,6.0,83,16422,False,5,False,5,False
5,4,7/23/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,BQx_2bQniZI,167897,1529,31,Wish I Was Here,2014,2870708,6.7,106,36449,False,5,True,5,True
5,4,7/23/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,BQx_2bQniZI,167897,1529,31,Hercules,2014,1267297,6.0,98,144985,False,5,True,5,False
5,4,7/23/2014,Gregg Turkington|Tim Heidecker|Joe Estevez,BQx_2bQniZI,167897,1529,31,Magic in the Moonlight,2014,2870756,6.5,97,63529,False,5,False,5,False
5,5,7/30/2014,Gregg Turkington|Tim Heidecker,k_MbreQjXJ4,166282,1544,44,Get on Up,2014,2473602,6.9,139,21923,False,5,True,5,False
5,5,7/30/2014,Gregg Turkington|Tim Heidecker,k_MbreQjXJ4,166282,1544,44,Guardians of the Galaxy,2014,2015381,8.0,121,1032976,False,5,False,5,False
5,6,8/6/2014,Gregg Turkington|Tim Heidecker,sU5PVNZ1GSo,172803,2464,60,Into the Storm,2014,2106361,5.8,89,64600,False,NA,NA,NA,NA
5,6,8/6/2014,Gregg Turkington|Tim Heidecker,sU5PVNZ1GSo,172803,2464,60,Teenage Mutant Ninja Turtles,2014,1291150,5.8,101,199794,False,5,False,5,False
5,7,8/13/2014,Gregg Turkington|Tim Heidecker,Q6_ckZw65dI,161764,1412,30,The Expendables 3,2014,2333784,6.1,126,167751,False,5,False,5,True
5,7,8/13/2014,Gregg Turkington|Tim Heidecker,Q6_ckZw65dI,161764,1412,30,Let's Be Cops,2014,1924435,6.4,104,126626,False,5,False,5,False
