season,episode,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,author,popcorn,oscar_pick
1,1,Flight,2012,R,02 Nov 2012,138 min,"Drama, Thriller",Robert Zemeckis,John Gatins,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",English,"USA, United Arab Emirates",Nominated for 2 Oscars. Another 15 wins & 43 nominations.,https://m.media-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,76,7.3,"325,384",tt1907668,movie,N/A,"$93,772,375","ImageMovers, Parkes/MacDonald",N/A,True,Gregg,5,False
1,1,Flight,2012,R,02 Nov 2012,138 min,"Drama, Thriller",Robert Zemeckis,John Gatins,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",English,"USA, United Arab Emirates",Nominated for 2 Oscars. Another 15 wins & 43 nominations.,https://m.media-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,76,7.3,"325,384",tt1907668,movie,N/A,"$93,772,375","ImageMovers, Parkes/MacDonald",N/A,True,Tim,5,False
1,1,The Man with the Iron Fists,2012,R,02 Nov 2012,95 min,Action,RZA,"RZA (story), RZA (screenplay), Eli Roth (screenplay)","RZA, Rick Yune, Russell Crowe, Lucy Liu","On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.","English, Mandarin","USA, Hong Kong",4 nominations.,https://m.media-amazon.com/images/M/MV5BMTg5ODI3ODkzOV5BMl5BanBnXkFtZTcwMTQxNjUwOA@@._V1_SX300.jpg,51,5.4,"60,452",tt1258972,movie,N/A,"$15,634,090",Arcade,N/A,True,Gregg,5,False
1,1,The Man with the Iron Fists,2012,R,02 Nov 2012,95 min,Action,RZA,"RZA (story), RZA (screenplay), Eli Roth (screenplay)","RZA, Rick Yune, Russell Crowe, Lucy Liu","On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.","English, Mandarin","USA, Hong Kong",4 nominations.,https://m.media-amazon.com/images/M/MV5BMTg5ODI3ODkzOV5BMl5BanBnXkFtZTcwMTQxNjUwOA@@._V1_SX300.jpg,51,5.4,"60,452",tt1258972,movie,N/A,"$15,634,090",Arcade,N/A,True,Tim,4,False
1,2,Skyfall,2012,PG-13,09 Nov 2012,143 min,"Action, Adventure, Thriller",Sam Mendes,"Neal Purvis, Robert Wade, John Logan, Ian Fleming (characters)","Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","English, Turkish, Shanghainese, Portuguese, Japanese","UK, USA, Turkey",Won 2 Oscars. Another 63 wins & 122 nominations.,https://m.media-amazon.com/images/M/MV5BMWZiNjE2OWItMTkwNy00ZWQzLWI0NTgtMWE0NjNiYTljN2Q1XkEyXkFqcGdeQXVyNzAwMjYxMzA@._V1_SX300.jpg,81,7.7,"629,816",tt1074638,movie,N/A,"$304,360,277",Eon Productions Ltd.,N/A,True,Tim,5,False
1,2,Skyfall,2012,PG-13,09 Nov 2012,143 min,"Action, Adventure, Thriller",Sam Mendes,"Neal Purvis, Robert Wade, John Logan, Ian Fleming (characters)","Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","English, Turkish, Shanghainese, Portuguese, Japanese","UK, USA, Turkey",Won 2 Oscars. Another 63 wins & 122 nominations.,https://m.media-amazon.com/images/M/MV5BMWZiNjE2OWItMTkwNy00ZWQzLWI0NTgtMWE0NjNiYTljN2Q1XkEyXkFqcGdeQXVyNzAwMjYxMzA@._V1_SX300.jpg,81,7.7,"629,816",tt1074638,movie,N/A,"$304,360,277",Eon Productions Ltd.,N/A,True,Gregg,5,False
1,2,Lincoln,2012,PG-13,16 Nov 2012,150 min,"Biography, Drama, History, War",Steven Spielberg,"Tony Kushner (screenplay by), Doris Kearns Goodwin (based in part on the book ""Team of Rivals: The Political Genius of Abraham Lincoln"" by)","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",English,"USA, India",Won 2 Oscars. Another 108 wins & 250 nominations.,https://m.media-amazon.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,86,7.3,"244,447",tt0443272,movie,N/A,"$182,207,973","Kennedy/Marshall, Amblin Entertainment",N/A,True,Tim,6,False
1,2,Lincoln,2012,PG-13,16 Nov 2012,150 min,"Biography, Drama, History, War",Steven Spielberg,"Tony Kushner (screenplay by), Doris Kearns Goodwin (based in part on the book ""Team of Rivals: The Political Genius of Abraham Lincoln"" by)","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",English,"USA, India",Won 2 Oscars. Another 108 wins & 250 nominations.,https://m.media-amazon.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,86,7.3,"244,447",tt0443272,movie,N/A,"$182,207,973","Kennedy/Marshall, Amblin Entertainment",N/A,True,Gregg,4,False
1,3,Anna Karenina,2012,R,07 Sep 2012,129 min,"Drama, Romance",Joe Wright,"Tom Stoppard (screenplay), Lev Tolstoy (novel)","Matthew Macfadyen, Eric MacLennan, Kelly Macdonald, Theo Morrissey","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",English,UK,Won 1 Oscar. Another 31 wins & 53 nominations.,https://m.media-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,63,6.6,"91,837",tt1781769,movie,N/A,"$12,816,367",Working Title Films,N/A,True,Tim,5,False
1,3,Anna Karenina,2012,R,07 Sep 2012,129 min,"Drama, Romance",Joe Wright,"Tom Stoppard (screenplay), Lev Tolstoy (novel)","Matthew Macfadyen, Eric MacLennan, Kelly Macdonald, Theo Morrissey","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",English,UK,Won 1 Oscar. Another 31 wins & 53 nominations.,https://m.media-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,63,6.6,"91,837",tt1781769,movie,N/A,"$12,816,367",Working Title Films,N/A,True,Gregg,5,False
