season,episode,airdate,hosts,youtube_id, view_count,like_count,dislike_count,title,year,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner,gregg_popcorn,gregg_oscar,tim_popcorn,tim_oscar
1,1,11/2/2012,Gregg Turkington|Tim Heidecker,qFHLfmoLchI,551430,2907,38,Flight,2012,1907668,7.3,138,Nadine Velazquez|Denzel Washington|Carter Cabassa|Adam C. Edwards|Tamara Tunie,322687,False,5,True,5,True
1,1,11/2/2012,Gregg Turkington|Tim Heidecker,qFHLfmoLchI,551430,2907,38,The Man with the Iron Fists,2012,1258972,5.4,95,RZA|Rick Yune|Russell Crowe|Lucy Liu|Dave Bautista,60187,False,5,False,4,False
1,2,11/8/2012,Gregg Turkington|Tim Heidecker,SQZJktp-etk,206545,1586,23,Skyfall,2012,1074638,7.7,143,Daniel Craig|Judi Dench|Javier Bardem|Ralph Fiennes|Naomie Harris,625396,True,5,False,5,False
1,2,11/8/2012,Gregg Turkington|Tim Heidecker,SQZJktp-etk,206545,1586,23,Lincoln,2012,0443272,7.3,150,Daniel Day-Lewis|Sally Field|David Strathairn|Joseph Gordon-Levitt|James Spader,242512,True,4,False,6,False
1,3,11/16/2012,Gregg Turkington|Tim Heidecker,nfOMBioJDJg,212395,1427,27,Anna Karenina,2012,1781769,6.6,129,Matthew Macfadyen|Eric MacLennan|Kelly Macdonald|Theo Morrissey|Cecily Morrissey,90832,True,5,True,5,True
1,3,11/16/2012,Gregg Turkington|Tim Heidecker,nfOMBioJDJg,212395,1427,27,The Twilight Saga: Breaking Dawn - Part 2,2012,1673434,5.5,115,Kristen Stewart|Robert Pattinson|Taylor Lautner|Peter Facinelli|Elizabeth Reaser,229418,False,4,False,4,False
1,4,11/21/2012,Gregg Turkington|Tim Heidecker,QYVJLsbciS8,172734,1265,15,Red Dawn,2012,1234719,5.4,93,Chris Hemsworth|Josh Peck|Josh Hutcherson|Adrianne Palicki|Isabel Lucas,73002,False,4,False,5,False
1,4,11/21/2012,Gregg Turkington|Tim Heidecker,QYVJLsbciS8,172734,1265,15,Life of Pi,2012,0454876,7.9,127,Suraj Sharma|Irrfan Khan|Ayush Tandon|Gautam Belur|Adil Hussain,575235,True,5,False,4,True
1,5,11/29/2012,Gregg Turkington|Tim Heidecker,WzFILC5bI_c,179387,1558,19,Universal Soldier: Day of Reckoning,2012,1659343,5.0,114,Jean-Claude Van Damme|Dolph Lundgren|Scott Adkins|Mariah Bonner|Andrei Arlovski,19166,False,5,False,NA,NA
1,5,11/29/2012,Gregg Turkington|Tim Heidecker,WzFILC5bI_c,179387,1558,19,The Frozen Ground,2013,2005374,6.4,105,Nicolas Cage|Vanessa Hudgens|John Cusack|Dean Norris|Gia Mantegna,57503,False,4,False,4,False
