Film,Year,11690484
Parasite,2019,6751668
Ford v Ferrari,2019,1950186
Learning to Skateboard in a Warzone (If You're a Girl),2019,10397932
The Neighbors' Window,2019,8163822
Little Women,2019,3281548
Marriage Story,2019,7653254
Jojo Rabbit,2019,2584384
Toy Story 4,2019,1979376
Joker,2019,7286456
Once Upon a Time in Hollywood,2019,10717304
1917,2019,8579674
Judy,2019,7549996
Bombshell,2019,6394270
Rocketman,2019,2066051
American Factory,2019,9351980
Hair Love,2019,7129636
Green Book,2018,6966692
Bohemian Rhapsody,2018,1727824
Roma,2018,6155172
Black Panther,2018,1825683
The Favourite,2018,5083738
A Star Is Born,2018,1517451
Vice,2018,6266538
BlacKkKlansman,2018,7349662
First Man,2018,1213641
If Beale Street Could Talk,2018,7125860
Bao,2018,8075496
Free Solo,2018,7775622
Period. End of Sentence.,2018,6939026
Skin,2018,6043142
Spider-Man: Into the Spider-Verse,2018,4633694
The Shape of Water,2017,5580390
Dunkirk,2017,5013056
"Three Billboards Outside Ebbing, Missouri",2017,5027774
Darkest Hour,2017,4555426
Blade Runner 2049,2017,1856101
Coco,2017,2380307
Phantom Thread,2017,5776858
Call Me by Your Name,2017,5726616
Get Out,2017,5052448
"I, Tonya",2017,5580036
Dear Basketball,2017,6794476
A Fantastic Woman,2017,5639354
Heaven Is a Traffic Jam on the 405,2017,5095260
Icarus,2017,6333060
The Silent Child,2017,6186970
Flesh and Sand (Carne y arena),2017,6212516
Moonlight,2016,4975722
La La Land,2016,3783958
Hacksaw Ridge,2016,2119532
Manchester by the Sea,2016,4034228
Arrival,2016,2543164
Fences,2016,2671706
Fantastic Beasts and Where to Find Them,2016,3183660
The Jungle Book,2016,3040964
O.J.: Made in America,2016,5275892
Piper,2016,5613056
The Salesman,2016,5186714
Sing,2016,3470600
Suicide Squad,2016,1386697
The White Helmets,2016,6073176
Zootopia,2016,2948356
Spotlight,2015,1895587
Mad Max: Fury Road,2015,1392190
The Revenant,2015,1663202
Bridge of Spies,2015,3682448
The Big Short,2015,1596363
The Danish Girl,2015,0810819
Room,2015,3170832
The Hateful Eight,2015,3460252
Ex Machina,2015,7233368
Inside Out,2015,2096673
Amy,2015,2870648
Bear Story,2015,5974990
A Girl in the River: The Price of Forgiveness,2015,5144072
Son of Saul,2015,3808342
Spectre,2015,2379713
Stutterer,2015,4817576
Birdman,2014,5130912
The Grand Budapest Hotel,2014,2278388
Whiplash,2014,2582802
The Imitation Game,2014,2084970
American Sniper,2014,2179136
Boyhood,2014,1065073
Interstellar,2014,0816692
The Theory of Everything,2014,2980516
Ida,2014,8865204
Selma,2014,1020072
Citizenfour,2014,4044364
Big Hero 6,2014,2245084
Crisis Hotline: Veterans Press 1,2014,3449252
The Phone Call,2014,3701940
Still Alice,2014,3316960
Feast,2014,3689498
12 Years a Slave,2013,2024544
Gravity,2013,1454468
Dallas Buyers Club,2013,0790636
Frozen,2013,2294629
The Great Gatsby,2013,1343092
Her,2013,1798709
Blue Jasmine,2013,2334873
Mr Hublot,2013,3043542
The Lady in Number 6,2013,2924484
Helium,2013,3346410
The Great Beauty,2013,2358891
20 Feet from Stardom,2013,2396566
Argo,2012,1024648
Life of Pi,2012,0454876
Les Misérables,2012,1707386
Lincoln,2012,0443272
Django Unchained,2012,1853728
Skyfall,2012,1074638
Silver Linings Playbook,2012,1045658
Zero Dark Thirty,2012,1790885
Amour,2012,1602620
Anna Karenina,2012,1781769
Paperman,2012,2388725
Brave,2012,1217209
Searching for Sugar Man,2012,2125608
Inocente,2012,2123210
Curfew,2012,2088735
