season,episode,airdate,hosts,youtube_id,view_count,like_count,dislike_count,movie,year,cover_url,imdb_id,imdb_rating,runtime,imdb_cast,imdb_votes,oscar_winner
1,1,11/2/2012,Gregg Turkington|Tim Heidecker,qFHLfmoLchI,551731,2909,38,Multiplicity,1996,https://images-na.ssl-images-amazon.com/images/M/MV5BNTI4Zjc4MDMtZGJjMS00ZjhjLWJkYTItNjZhNGFjOTY4Y2E4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,0117108,6.1,117,Michael Keaton|Andie MacDowell|Zack Duhame|Katie Schlossberg|Harris Yulin,29630,False
1,2,11/8/2012,Gregg Turkington|Tim Heidecker,SQZJktp-etk,206634,1586,23,Murphy's Romance,1985,https://images-na.ssl-images-amazon.com/images/M/MV5BM2IxMWIwNzQtNzhhMy00MjNiLTllYjktN2VlYjc1MjNhNmVmXkEyXkFqcGdeQXVyNzY5MTE3OTQ@._V1_SX300.jpg,0089643,7.0,107,Sally Field|James Garner|Brian Kerwin|Corey Haim|Dennis Burkley,5371,False
1,4,11/21/2012,Gregg Turkington|Tim Heidecker,QYVJLsbciS8,172809,1266,15,Twilight Zone: The Movie,1983,https://ia.media-imdb.com/images/M/MV5BYjQ2NzgzYjEtMzAxNy00MzhkLWE5ZTUtZDA1ODY3MTBjOTRiXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_SX300.jpg,0086491,6.5,101,Dan Aykroyd|Albert Brooks|Vic Morrow|Doug McGrath|Charles Hallahan,32830,False
1,7,12/13/2012,Gregg Turkington|Tim Heidecker,Okikb3fpN4w,171997,1202,18,18 Again!,1988,https://m.media-amazon.com/images/M/MV5BZTY1NGM3YmUtYmNiZi00YjI2LWJiYjktZDhhNWY2NDFhNjk4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,0094593,5.8,93,George Burns|Charlie Schlatter|Tony Roberts|Anita Morris|Miriam Flynn,4198,False
1,9,12/27/2012,Gregg Turkington|Tim Heidecker,vvoqgPay8bM,166186,1364,17,Star Trek IV: The Voyage Home,1986,https://m.media-amazon.com/images/M/MV5BMGY2MDE2MGQtMjczYi00YTdhLWIzNzktNDk2NzMzZmYwMTJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,0092007,7.3,119,William Shatner|Leonard Nimoy|DeForest Kelley|James Doohan|George Takei,78079,False
1,9,12/27/2012,Gregg Turkington|Tim Heidecker,vvoqgPay8bM,166186,1364,17,Dick Tracy,1990,https://m.media-amazon.com/images/M/MV5BMzA5MDg5ZDAtOWE1YS00Nzg2LTk5NzUtMDY3ZDZlN2U2M2ZlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,0099422,6.1,105,Warren Beatty|Charlie Korsmo|Michael Donovan O'Donnell|Jim Wilkey|Stig Eldred,57171,False
2,1,2/7/2013,Gregg Turkington|Tim Heidecker,LPw-R-WWdOc,176701,1315,13,A Simple Twist of Fate,1994,https://images-na.ssl-images-amazon.com/images/M/MV5BY2EzMTA3ZmEtNmRjYi00ZTM5LTk1OTItZDcwNWI1YjY5MWEzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,0111194,6.4,106,Steve Martin|Gabriel Byrne|Laura Linney|Catherine O'Hara|Alana Austin,5018,False
2,4,2/28/2013,Gregg Turkington|Tim Heidecker,LjVTxxFNeQY,148763,1159,17,My Giant,1998,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MDI1MTM2MV5BMl5BanBnXkFtZTcwMTEyMjgyMQ@@._V1_SX300.jpg,0120765,5.0,103,Billy Crystal|Kathleen Quinlan|Gheorghe Muresan|Joanna Pacula|Zane Carney,6536,False
2,6,3/14/2013,Gregg Turkington|Tim Heidecker,fah28oNAhT8,173160,1505,21,The Mod Squad,1999,https://ia.media-imdb.com/images/M/MV5BMTQyMzgyNTc5Ml5BMl5BanBnXkFtZTcwNzE0ODI1NA@@._V1_SX300.jpg,0120757,4.3,92,Claire Danes|Giovanni Ribisi|Omar Epps|Dennis Farina|Josh Brolin,8641,False
2,6,3/14/2013,Gregg Turkington|Tim Heidecker,fah28oNAhT8,173160,1505,21,Dennis Miller Live,1994,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2ODM4OTE1MF5BMl5BanBnXkFtZTcwMDkyMDAyMQ@@._V1_SX300.jpg,0108742,6.1,30,Dennis Miller|David Spade|Jon Stewart|Dana Carvey|Martin Short,360,False
